"rd", 11, 7
"rs1", 19, 15
"rs2", 24, 20
"rs3", 31, 27
"fd", 11, 7
"fs1", 19, 15
"fs2", 24, 20
"fs3", 31, 27
"aq", 26, 26
"rl", 25, 25
"fm", 31, 28
"pred", 27, 24
"succ", 23, 20
"rm", 14, 12
"csr", 31, 20
"shamtw", 24, 20
"shamtd", 25, 20
"bs", 31, 30
"rnum", 23, 20
"vd", 11, 7
"vs3", 11, 7
"vs1", 19, 15
"vs2", 24, 20
"vm", 25, 25
"rd_n0", 11, 7
"rs2_e", 24, 21
